CPMG train data
Estimated phase correction: -2.069873 rad
time in s	real part	imag part	abs value
0.021253	-0.001955	-0.003548	0.004051
0.021303	-0.001708	-0.004076	0.004419
0.021353	-0.002374	-0.004136	0.004769
0.021403	-0.002073	-0.003826	0.004351
0.021453	-0.002185	-0.003614	0.004223
0.021503	-0.002389	-0.003326	0.004095
0.021553	-0.002188	-0.003864	0.004441
0.021603	-0.002448	-0.003408	0.004196
0.021653	-0.002247	-0.003399	0.004074
0.021703	-0.002468	-0.003831	0.004557
0.021753	-0.002014	-0.003762	0.004267
0.021803	-0.002276	-0.003517	0.004189
0.021853	-0.001796	-0.004129	0.004503
0.021903	-0.002158	-0.003759	0.004334
0.021953	-0.002260	-0.003671	0.004311
0.022003	-0.001864	-0.003933	0.004353
0.022053	-0.002072	-0.003737	0.004273
0.022103	-0.002241	-0.003233	0.003934
0.022153	-0.002209	-0.003550	0.004181
0.022203	-0.002430	-0.003915	0.004608
0.022253	-0.001862	-0.003740	0.004178
0.022303	-0.002408	-0.004005	0.004673
0.022353	-0.001908	-0.003474	0.003964
0.022403	-0.001874	-0.003756	0.004197
0.022453	-0.002087	-0.003707	0.004254
0.022503	-0.001999	-0.003966	0.004441
0.022553	-0.002423	-0.003918	0.004607
0.022603	-0.002390	-0.003472	0.004215
0.022653	-0.001969	-0.004544	0.004952
0.022703	-0.002183	-0.003642	0.004246
0.022753	-0.002082	-0.003419	0.004003
0.022803	-0.002033	-0.004100	0.004576
0.022853	-0.002588	-0.003329	0.004216
0.022903	-0.002136	-0.003913	0.004458
0.022953	-0.002263	-0.003500	0.004168
0.023003	-0.002000	-0.003990	0.004463
0.023053	-0.001982	-0.003856	0.004336
0.023103	-0.002086	-0.003533	0.004103
0.023153	-0.002014	-0.004003	0.004481
0.023203	-0.001817	-0.003839	0.004247
0.023253	-0.001765	-0.004050	0.004418
0.023303	-0.002036	-0.003225	0.003814
0.023353	-0.001930	-0.003827	0.004286
0.023403	-0.001774	-0.003694	0.004098
0.023453	-0.001578	-0.003205	0.003572
0.023503	-0.001838	-0.003782	0.004205
0.023553	-0.002586	-0.004021	0.004781
0.023603	-0.002198	-0.003913	0.004489
0.023653	-0.002141	-0.003985	0.004524
0.023703	-0.002248	-0.004083	0.004661
0.023753	-0.001732	-0.003463	0.003872
0.023803	-0.002258	-0.003865	0.004476
0.023853	-0.001609	-0.003877	0.004198
0.023903	-0.001685	-0.003677	0.004044
0.023953	-0.002626	-0.003957	0.004749
0.024003	-0.001848	-0.003291	0.003775
0.024053	-0.002628	-0.003443	0.004331
0.024103	-0.001835	-0.003723	0.004151
0.024153	-0.001722	-0.003383	0.003796
0.024203	-0.002449	-0.003550	0.004313
0.024253	-0.001343	-0.003852	0.004079
0.024303	-0.002160	-0.003765	0.004341
0.024353	-0.001917	-0.004327	0.004733
0.024403	-0.001926	-0.003743	0.004210
0.024453	-0.001925	-0.003522	0.004014
0.024503	-0.001628	-0.003961	0.004283
0.024553	-0.001952	-0.003551	0.004052
0.024603	-0.001911	-0.003563	0.004043
0.024653	-0.002570	-0.003196	0.004101
0.024703	-0.002127	-0.003917	0.004457
0.024753	-0.002304	-0.003673	0.004336
0.024803	-0.001856	-0.003395	0.003869
0.024853	-0.001953	-0.003832	0.004301
0.024903	-0.001712	-0.003806	0.004173
0.024953	-0.002123	-0.003751	0.004310
0.025003	-0.001224	-0.003406	0.003620
0.025053	-0.002330	-0.003203	0.003961
0.025103	-0.002270	-0.003571	0.004232
0.025153	-0.001631	-0.003641	0.003990
0.025203	-0.002180	-0.003514	0.004135
0.025253	-0.001803	-0.003758	0.004168
0.025303	-0.002102	-0.003203	0.003831
0.025353	-0.001773	-0.003794	0.004188
0.025403	-0.001535	-0.003866	0.004160
0.025453	-0.002029	-0.003351	0.003917
0.025503	-0.001764	-0.003754	0.004148
0.025553	-0.001490	-0.003052	0.003396
0.025603	-0.001791	-0.003836	0.004233
0.025653	-0.001884	-0.003797	0.004238
0.025703	-0.001752	-0.003584	0.003989
0.025753	-0.002199	-0.003654	0.004264
0.025803	-0.001926	-0.003902	0.004352
0.025853	-0.001969	-0.003303	0.003845
0.025903	-0.001626	-0.003517	0.003874
0.025953	-0.002313	-0.003229	0.003972
0.026003	-0.001706	-0.003457	0.003855
0.026053	-0.002066	-0.003990	0.004493
0.026103	-0.001547	-0.003481	0.003809
0.026153	-0.001899	-0.003664	0.004127
0.026203	-0.002257	-0.003187	0.003905
0.026253	-0.001752	-0.003266	0.003706
0.026303	-0.001361	-0.003586	0.003835
0.026353	-0.001486	-0.003627	0.003919
0.026403	-0.001592	-0.003536	0.003878
0.026453	-0.001864	-0.003544	0.004004
